,First,Last,Nickname,Ht.,Wt.,Reach,Stance,W,L,D,Belt
72,Ikram,Aliskerov,,"6' 0""",185 lbs.,"76.0""",Southpaw,13,1,0,
73,Leon,Aliu,The Albanian Lion,"6' 0""",185 lbs.,"74.0""",Orthodox,10,2,0,
74,John,Allan,,"6' 1""",205 lbs.,"75.0""",Orthodox,13,7,0,
75,George,Allen,,"6' 2""",205 lbs.,--,Open Stance,13,19,2,
76,Arnold,Allen,Almighty,"5' 8""",145 lbs.,"70.0""",Southpaw,18,1,0,
77,Brendan,Allen,All In,"6' 2""",185 lbs.,"75.0""",Orthodox,20,5,0,
78,Ben,Alloway,Blanco,"5' 11""",170 lbs.,"76.0""",Orthodox,18,8,0,
79,Ricardo,Almeida,Big Dog,"6' 0""",170 lbs.,"74.0""",Orthodox,13,5,0,
80,Magno,Almeida,,"6' 0""",155 lbs.,--,,10,3,0,
81,Thomas,Almeida,Thominhas,"5' 7""",145 lbs.,"70.0""",Southpaw,22,5,0,
82,Ericka,Almeida,,"5' 6""",115 lbs.,--,Orthodox,7,3,0,
83,Estefani,Almeida,,"5' 4""",125 lbs.,--,Orthodox,7,3,0,
84,Jailton,Almeida,Malhadinho,"6' 3""",205 lbs.,"79.0""",Orthodox,17,2,0,
85,Lucas,Almeida,,"5' 11""",145 lbs.,"71.0""",Orthodox,14,1,0,
86,Mauricio,Alonso,,"6' 2""",170 lbs.,--,,13,7,0,
87,Sarah,Alpar,Too Sweet,"5' 4""",135 lbs.,"63.0""",Southpaw,9,6,0,
88,Ali,AlQaisi,The Royal Fighter,"5' 6""",135 lbs.,"68.0""",Orthodox,8,5,0,
89,Rico,Altamirano,,"5' 10""",170 lbs.,--,,4,3,0,
90,Victor,Altamirano,El Magnifico,"5' 8""",125 lbs.,"70.0""",Switch,11,2,0,
91,Mike,Altman,,"5' 10""",185 lbs.,--,Orthodox,1,4,0,
92,Sean,Alvarez,,"6' 0""",235 lbs.,--,Orthodox,4,3,0,
93,Eddie,Alvarez,,"5' 9""",155 lbs.,"69.0""",Orthodox,29,6,0,
94,Jaime,Alvarez,,"5' 8""",125 lbs.,"69.0""",Orthodox,6,1,0,
95,Joel,Alvarez,El Fenomeno,"6' 3""",155 lbs.,"77.0""",Orthodox,19,3,0,
96,Thiago,Alves,Pitbull,"5' 9""",170 lbs.,"70.0""",Orthodox,23,15,0,
97,Anthony,Alves,,--,--,--,,1,4,0,
98,Amilcar,Alves,,"6' 0""",170 lbs.,--,Southpaw,15,12,0,
99,Warlley,Alves,,"5' 11""",170 lbs.,"72.0""",Orthodox,15,5,0,
100,Rafael,Alves,The Turn,"5' 8""",155 lbs.,"68.0""",Orthodox,20,11,0,
101,Sam,Alvey,Smile'N,"6' 2""",185 lbs.,"75.0""",Southpaw,33,18,1,
102,Andre,Amado,Dida,"6' 0""",154 lbs.,--,Orthodox,6,4,1,
103,Adlan,Amagov,Borz,"6' 2""",170 lbs.,"76.0""",Orthodox,14,2,1,
104,Maiara,Amanajas dos Santos,,"5' 5""",115 lbs.,--,Southpaw,7,3,0,
105,Rayanne,Amanda,,"5' 2""",115 lbs.,"62.0""",Orthodox,11,6,0,
106,Chris,Amarante,,--,185 lbs.,--,,2,0,0,
107,Jimmy,Ambriz,The Titan,"6' 2""",315 lbs.,--,Southpaw,17,21,1,
108,JJ,Ambrose,,"5' 10""",170 lbs.,--,Orthodox,28,7,0,
109,Alen,Amedovski,,"5' 10""",185 lbs.,"74.0""",Orthodox,8,4,0,
110,Makwan,Amirkhani,Mr. Finland,"5' 10""",145 lbs.,"72.0""",Southpaw,17,8,0,
111,Jaqueline,Amorim,,"5' 3""",115 lbs.,--,,6,0,0,
112,Bertrand,Amoussou,,"5' 8""",190 lbs.,--,Orthodox,1,1,0,
113,Karl,Amoussou,The Psycho,"5' 11""",185 lbs.,--,Orthodox,27,7,2,
114,Eryk,Anders,Ya Boi,"6' 1""",185 lbs.,"75.0""",Southpaw,14,7,0,
115,Matt,Andersen,,"6' 2""",230 lbs.,--,Southpaw,14,8,1,
116,Andy,Anderson,The Hammer,"5' 6""",240 lbs.,--,,0,1,0,
117,Lowell,Anderson,,"5' 6""",160 lbs.,--,Orthodox,0,1,0,
118,Corey,Anderson,Overtime,"6' 3""",205 lbs.,"79.0""",Orthodox,14,5,0,
119,Derek,Anderson,Barbaric,"6' 0""",155 lbs.,--,,14,3,0,
120,Megan,Anderson,,"6' 0""",145 lbs.,"72.0""",Orthodox,11,5,0,
121,Tatsuya,Ando,,--,135 lbs.,--,,13,3,1,
122,Alex,Andrade,El Toro,"5' 11""",200 lbs.,--,Orthodox,10,5,0,
123,Jessica,Andrade,Bate Estaca,"5' 1""",125 lbs.,"62.0""",Orthodox,23,9,0,
124,Viscardi,Andrade,,"5' 11""",170 lbs.,"75.0""",Orthodox,19,6,0,
125,Jermaine,Andre,,"5' 7""",200 lbs.,--,Orthodox,14,4,0,
126,Juan,Andres Luna,,"5' 7""",125 lbs.,"72.0""",Orthodox,12,1,0,
127,Dylan,Andrews,The Villain,"6' 1""",185 lbs.,"74.0""",Switch,18,7,0,
128,Reese,Andy,Riptide,"6' 0""",205 lbs.,--,Orthodox,7,3,0,
129,,Angga,The Hitman,"5' 7""",145 lbs.,"68.0""",Orthodox,13,3,0,
130,Julius,Anglickas,,"6' 3""",205 lbs.,--,Orthodox,5,1,0,
131,Collin,Anglin,,"5' 9""",145 lbs.,"71.0""",Orthodox,8,3,0,
132,Chad,Anheliger,The Monster,"5' 6""",135 lbs.,"64.0""",Orthodox,12,6,0,
133,Yoji,Anjo,Mr. 200%,"5' 11""",205 lbs.,--,Orthodox,0,5,1,
134,Magomed,Ankalaev,,"6' 3""",205 lbs.,"75.0""",Orthodox,18,1,0,
135,Gadzhimurad,Antigulov,,"5' 11""",205 lbs.,"70.0""",Orthodox,20,8,0,
136,Adam,Antolin,Captain Chaos,"5' 5""",125 lbs.,"63.0""",Orthodox,12,3,0,
137,Angelo,Antonio,,--,205 lbs.,--,Orthodox,1,4,0,
138,Azunna,Anyanwu,Zulu,"6' 1""",251 lbs.,--,Orthodox,14,5,0,
139,Shinsho,Anzai,Animal,"5' 7""",170 lbs.,"70.0""",Orthodox,10,3,0,
140,Shinya,Aoki,Tobikan Judan,"5' 11""",154 lbs.,--,Southpaw,39,7,0,
141,,Aoriqileng,The Mongolian Murderer,"5' 7""",135 lbs.,"69.0""",Orthodox,24,9,0,
142,Josh,Appelt,,"5' 10""",255 lbs.,--,Southpaw,15,7,0,
143,Erik,Apple,,"6' 0""",170 lbs.,--,Orthodox,10,3,0,
144,Kenji,Arai,,"5' 10""",145 lbs.,--,Southpaw,15,15,5,
145,Romie,Aram,,"5' 10""",170 lbs.,--,Orthodox,7,1,0,
146,Felipe,Arantes,Sertanejo,"5' 8""",135 lbs.,"73.0""",Orthodox,18,10,1,
147,Igor,Araujo,,"6' 1""",170 lbs.,"77.0""",Orthodox,25,9,0,
148,Viviane,Araujo,Vivi,"5' 4""",125 lbs.,"68.0""",Orthodox,11,4,0,
149,Julio,Arce,,"5' 7""",135 lbs.,"70.0""",Southpaw,18,5,0,
150,Art,Arciniega,King Arthur,"5' 8""",145 lbs.,--,,15,7,0,
151,Tristan,Arenal,,--,155 lbs.,--,,7,4,0,
152,Dan,Argueta,The Determined,"5' 7""",145 lbs.,"68.0""",Southpaw,8,1,0,
153,Hashem,Arkhagha,,"6' 2""",185 lbs.,"75.0""",Orthodox,6,1,0,
154,Andrei,Arlovski,The Pitbull,"6' 3""",240 lbs.,"77.0""",Orthodox,34,20,0,
155,Garrett,Armfield,,"5' 6""",135 lbs.,"70.0""",Orthodox,8,3,0,
156,Joey,Armstrong,,--,--,--,,5,2,0,
157,Austin,Arnett,,"6' 0""",145 lbs.,"72.0""",Orthodox,16,6,0,
158,Ricardo,Arona,The Brazilian Tiger,"5' 11""",205 lbs.,--,Orthodox,14,5,0,
159,Chalid,Arrab,Die Faust,"5' 11""",205 lbs.,--,Orthodox,7,3,0,
160,Akbarh,Arreola,El Caballero,"5' 10""",155 lbs.,"71.0""",Southpaw,23,11,1,
161,Matt,Arroyo,No Regard,"5' 10""",170 lbs.,"72.0""",Orthodox,3,3,0,
162,Antonio,Arroyo,,"6' 3""",185 lbs.,"73.0""",Orthodox,9,5,0,
163,Gilles,Arsene,,"5' 9""",190 lbs.,--,Southpaw,1,1,0,
164,Veta,Arteaga,,"5' 7""",125 lbs.,--,,3,1,0,
165,Cesar,Arzamendia,Goku,"5' 11""",155 lbs.,--,Orthodox,8,3,0,
166,Teddy,Ash,Bear,"6' 1""",185 lbs.,"73.0""",Switch,14,5,0,
167,Arman,Ashimov,Mustafa Ozturik,"5' 6""",125 lbs.,--,,11,3,1,
168,,Asjabharan,,"5' 6""",135 lbs.,--,,7,6,0,
169,Askar,Askar,AK-47,"5' 7""",145 lbs.,"69.0""",Orthodox,11,1,0,
170,Askar,Askarov,Bullet,"5' 6""",125 lbs.,"67.0""",Orthodox,14,1,1,
171,Cyril,Asker,Silverback,"6' 0""",247 lbs.,"74.0""",Orthodox,9,4,0,
172,Khusein,Askhabov,Lion,"5' 8""",135 lbs.,--,,23,0,0,
173,Scott,Askham,,"6' 3""",185 lbs.,"75.0""",Southpaw,14,4,0,
174,Ben,Askren,Funky,"5' 11""",170 lbs.,"73.0""",Orthodox,19,2,0,
175,Ibo,Aslan,The Last Ottoman,"6' 3""",205 lbs.,--,,8,0,0,
176,Tom,Aspinall,,"6' 5""",256 lbs.,"78.0""",Orthodox,12,3,0,
177,Bruno,Assis,Brunao,"6' 2""",185 lbs.,--,Orthodox,8,4,0,
178,Junior,Assuncao,,"5' 9""",145 lbs.,"72.0""",Orthodox,16,6,0,
179,Raphael,Assuncao,,"5' 5""",135 lbs.,"66.0""",Orthodox,28,9,0,
180,Bazigit,Atajev,Volk,"6' 1""",230 lbs.,--,Orthodox,17,1,0,
181,Rich,Attonito,The Raging Bull,"5' 10""",170 lbs.,"72.0""",Orthodox,10,5,0,
182,Olivier,Aubin-Mercier,The Canadian Gangster,"5' 9""",155 lbs.,"70.0""",Southpaw,11,5,0,
183,Pat,Audinwood,Awesomely Awesome,"6' 0""",155 lbs.,--,Orthodox,11,2,1,
184,Jose,Augusto,Gugu,"6' 3""",251 lbs.,--,,6,2,0,
185,Marcus,Aurelio,Maximus,"5' 10""",155 lbs.,"74.0""",Orthodox,22,10,0,
186,David,Avellan,,"5' 9""",185 lbs.,--,Orthodox,2,1,0,
187,Blas,Avena,The Disciple,"6' 0""",170 lbs.,"74.0""",Orthodox,8,7,0,
188,Levi,Avera,,"6' 1""",170 lbs.,--,,18,15,0,
189,Anthony,Avila,,"5' 7""",145 lbs.,--,,13,5,0,
190,Chris,Avila,,"5' 10""",145 lbs.,--,Orthodox,5,4,0,
191,Julia,Avila,Raging Panda,"5' 7""",135 lbs.,"68.0""",Orthodox,9,2,0,
192,Saad,Awad,Assassin,"5' 11""",155 lbs.,--,,20,9,0,
193,Javy,Ayala,Eye Candy,"6' 1""",265 lbs.,--,,10,5,0,
194,Jessin,Ayari,,"6' 0""",155 lbs.,"73.0""",Orthodox,16,6,0,
195,Abu,Azaitar,Captain Morocco,"5' 9""",185 lbs.,"76.0""",Orthodox,14,3,1,
196,Ottman,Azaitar,Bulldozer,"5' 8""",155 lbs.,"71.0""",Switch,13,0,0,
197,Luiz,Azeredo,,"5' 9""",154 lbs.,--,Orthodox,15,10,0,
198,Luciano,Azevedo,,"6' 3""",161 lbs.,--,Orthodox,17,9,1,
199,Hunter,Azure,,"5' 8""",145 lbs.,"69.0""",Orthodox,9,2,0,
200,,,,,,,,,,,
201,Niklas,Backstrom,,"6' 1""",145 lbs.,--,Orthodox,11,3,0,
202,Seth,Baczynski,The Polish Pistola,"6' 3""",170 lbs.,"75.0""",Orthodox,20,14,0,
203,Ryan,Bader,Darth,"6' 2""",205 lbs.,"74.0""",Orthodox,23,5,0,
204,Izabela,Badurek,,"5' 5""",115 lbs.,--,Orthodox,6,3,0,
205,Miguel,Baeza,Caramel Thunder,"6' 2""",170 lbs.,"74.0""",Orthodox,10,3,0,
206,Ali,Bagautinov,Puncher,"5' 4""",125 lbs.,"65.0""",Orthodox,15,6,0,
207,Mehdi,Baghdad,The Sultan,"6' 1""",155 lbs.,--,Orthodox,11,5,0,
208,Melsik,Baghdasaryan,The Gun,"5' 9""",145 lbs.,"70.0""",Southpaw,7,1,0,
209,Siyar,Bahadurzada,The Great,"5' 11""",170 lbs.,"73.0""",Orthodox,24,8,1,
210,Ignacio,Bahamondes,La Jaula,"6' 3""",155 lbs.,"75.0""",Orthodox,13,4,0,
211,Shamar,Bailey,,"5' 9""",155 lbs.,"75.0""",Southpaw,16,11,0,
212,Jordan,Bailey,,"5' 9""",145 lbs.,--,,6,3,0,
213,Scott,Baker,,"6' 0""",210 lbs.,--,,1,1,0,
214,Bryan,Baker,The Beast,"6' 3""",185 lbs.,--,Orthodox,18,5,0,
215,Jin,Bala,,"5' 9""",155 lbs.,--,,23,3,0,
216,,Balajin,The Snow Leopard,"5' 9""",155 lbs.,--,Orthodox,23,3,0,
217,Oluwale,Bamgbose,Holy War Angel,"5' 11""",185 lbs.,"78.0""",Switch,6,4,0,
218,Stephen,Banaszak,,"6' 0""",145 lbs.,--,,5,5,0,
219,Marcin,Bandel,Bomba,"5' 10""",155 lbs.,--,Orthodox,15,7,0,
220,Humberto,Bandenay,,"5' 11""",145 lbs.,"71.0""",Southpaw,14,7,0,
221,Tae Hyun,Bang,Supernatural,"5' 9""",155 lbs.,"71.0""",Switch,18,10,0,
222,Yohan,Banks,,--,--,--,,2,1,0,
223,Antonio,Banuelos,,"5' 5""",135 lbs.,"63.0""",Orthodox,20,11,1,
224,Renan,Barao,The Baron,"5' 6""",145 lbs.,"70.0""",Orthodox,34,9,0,
225,Junior,Barata,,"5' 10""",170 lbs.,--,Orthodox,9,3,1,
226,Maycee,Barber,The Future,"5' 5""",125 lbs.,"65.0""",Switch,11,2,0,
227,Bryan,Barberena,Bam Bam,"6' 0""",170 lbs.,"72.0""",Southpaw,18,8,0,
228,Edson,Barboza,Junior,"5' 11""",145 lbs.,"75.0""",Orthodox,22,11,0,
229,Raoni,Barcelos,,"5' 7""",135 lbs.,"67.0""",Orthodox,17,3,0,
230,Daniel,Barez,,"5' 6""",125 lbs.,"66.0""",Orthodox,12,5,0,
231,Luke,Barnatt,The Bigslow,"6' 6""",185 lbs.,"77.0""",Orthodox,13,4,0,
232,James,Barnes,Mooka,"5' 8""",135 lbs.,"71.0""",Orthodox,14,5,0,
233,Nick,Barnes,,"5' 11""",170 lbs.,--,,11,2,0,
234,Shonte,Barnes,Shyne,"5' 11""",185 lbs.,"76.0""",Southpaw,6,2,1,
235,Josh,Barnett,The Warmaster,"6' 3""",250 lbs.,"78.0""",Orthodox,35,8,0,
236,Chris,Barnett,Beastboy,"5' 9""",265 lbs.,"75.0""",Orthodox,23,8,0,
237,Chris,Barnhizer,,--,--,--,,2,3,0,
238,David,Baron,,"5' 6""",155 lbs.,--,Switch,17,4,1,
239,Phil,Baroni,The New York Bad Ass,"5' 9""",170 lbs.,"72.0""",Orthodox,15,18,0,
240,Dan,Barrera,The Fireman,"5' 9""",170 lbs.,--,Orthodox,3,1,0,
241,Carlos,Barreto,,"6' 4""",230 lbs.,--,Orthodox,14,9,0,
242,Jose,Barreto,,--,185 lbs.,--,Southpaw,0,1,0,
243,Peter,Barrett,Slippery,"5' 10""",145 lbs.,"73.0""",Southpaw,11,5,0,
244,Marc-Andre,Barriault,Powerbar,"6' 1""",185 lbs.,"74.0""",Orthodox,14,6,0,
245,David,Barrios,,"5' 6""",145 lbs.,--,,4,8,0,
246,Alexandre,Barros,Baixinho,"5' 9""",170 lbs.,--,Southpaw,22,11,0,
247,Ricardo,Barros,,"6' 1""",205 lbs.,--,,2,2,0,
248,Francimar,Barroso,Bodao,"6' 1""",205 lbs.,"75.0""",Orthodox,19,7,0,
249,Pat,Barry,HD,"5' 11""",235 lbs.,"74.0""",Orthodox,8,7,0,
250,Dean,Barry,The Sniper,"5' 10""",170 lbs.,"72.0""",Orthodox,4,2,0,
251,Enrique,Barzola,El Fuerte,"5' 7""",145 lbs.,"70.0""",Orthodox,17,5,2,
252,Javid,Basharat,The Snow Leopard,"5' 9""",135 lbs.,"69.0""",Orthodox,13,0,0,
253,Farid,Basharat,Ferocious,"5' 8""",135 lbs.,"71.0""",Orthodox,9,0,0,
254,Stephen,Bass,Bigfish,"5' 9""",145 lbs.,--,Orthodox,11,2,0,
255,Sean,Bassett,,--,155 lbs.,--,,0,4,0,
256,Ryan,Bastianelli,Relentless,"5' 5""",135 lbs.,--,,6,7,0,
257,Shayna,Baszler,The Queen of Spades,"5' 7""",135 lbs.,--,Orthodox,15,11,0,
258,Michel,Batista,,"6' 3""",260 lbs.,--,Orthodox,4,1,0,
259,Bryan,Battle,Pooh Bear,"6' 1""",170 lbs.,"77.0""",Orthodox,9,1,0,
260,Alan,Baudot,The Black Samourai,"6' 3""",243 lbs.,"79.0""",Orthodox,8,4,0,
261,Mario,Bautista,,"5' 9""",135 lbs.,"69.0""",Switch,10,2,0,
262,Chris,Beal,Real Deal,"5' 7""",125 lbs.,"69.0""",Orthodox,10,5,0,
263,Donovan,Beard,The Highlight Reel,"6' 2""",185 lbs.,"78.0""",Orthodox,7,2,0,
264,Rudy,Bears,,"5' 11""",170 lbs.,--,Southpaw,16,15,0,
265,Salvador,Becerra,,"5' 9""",155 lbs.,--,,5,2,0,
266,Ariel,Beck,,"5' 6""",125 lbs.,"66.0""",Southpaw,4,5,0,
267,Jeff,Bedard,Little Popeye,"5' 6""",145 lbs.,--,Orthodox,13,3,0,
268,Eric,Bedard,Lucky Strikes,"6' 2""",239 lbs.,--,,6,7,0,
269,Johnny,Bedford,Brutal,"5' 10""",135 lbs.,"71.0""",Orthodox,21,13,1,
270,Chase,Beebe,,"5' 7""",135 lbs.,"67.0""",Orthodox,24,13,1,
271,Lyle,Beerbohm,Fancy Pants,"5' 10""",155 lbs.,--,Southpaw,24,3,0,
272,Allan,Begosso,Mini,"5' 5""",135 lbs.,"66.0""",Orthodox,7,2,1,
273,Mirsad,Bektic,,"5' 8""",145 lbs.,"70.0""",Orthodox,13,4,0,
274,Diana,Belbita,The Warrior Princess,"5' 7""",115 lbs.,"68.0""",Orthodox,14,7,0,
275,Alan,Belcher,The Talent,"6' 2""",185 lbs.,"75.0""",Orthodox,18,8,0,
276,Vitor,Belfort,The Phenom,"6' 0""",185 lbs.,"74.0""",Southpaw,26,14,0,
277,Rodolfo,Bellato,Trator,"6' 3""",205 lbs.,"75.0""",Orthodox,8,2,0,
278,Danilo,Belluardo,Caterpillar,"6' 0""",155 lbs.,"74.0""",Southpaw,12,5,0,
279,Joey,Beltran,The Mexicutioner,"6' 1""",185 lbs.,"75.0""",Orthodox,17,14,0,
280,Marco,Beltran,Psycho,"5' 8""",125 lbs.,"69.0""",Orthodox,8,6,0,
281,Joseph,Benavidez,,"5' 4""",125 lbs.,"65.0""",Southpaw,28,8,0,
282,Mike,Bencic,Batman,"6' 0""",215 lbs.,--,Orthodox,1,2,0,
283,Dave,Beneteau,Dangerous,"6' 2""",250 lbs.,--,Orthodox,6,5,1,
284,Karla,Benitez,,"5' 3""",113 lbs.,--,,14,11,1,
285,Gabriel,Benitez,Moggly,"5' 8""",155 lbs.,"71.0""",Southpaw,23,11,0,
286,Charles,Bennett,Krazy Horse,"5' 8""",155 lbs.,--,Orthodox,30,33,2,
287,Josh,Bennett,,"6' 4""",259 lbs.,--,Orthodox,11,14,0,
288,DeAnna,Bennett,The Argentine Assassin,"5' 4""",125 lbs.,"68.0""",Orthodox,8,3,1,
289,Lance,Benoist,,"5' 11""",170 lbs.,"72.0""",Southpaw,7,2,0,
290,Joe,Benoit,,"5' 9""",170 lbs.,--,Orthodox,11,4,0,
291,Ryan,Benoit,Baby Face,"5' 5""",125 lbs.,"68.0""",Orthodox,10,8,0,
292,Pat,Benson,,"5' 9""",155 lbs.,--,,3,5,3,
293,Len,Bentley,,"5' 9""",155 lbs.,--,,10,6,0,
294,Steve,Berger,The Red Nosed Pitbull,"5' 11""",170 lbs.,--,Orthodox,21,23,2,
295,Kenneth,Bergh,,"6' 2""",205 lbs.,"74.0""",Orthodox,8,0,0,
296,Bret,Bergmark,The Angry Hick,"5' 9""",170 lbs.,--,,6,1,1,
297,Keith,Berish,Sha Bang Bang,"6' 0""",205 lbs.,--,Orthodox,5,1,0,
298,Dennis,Bermudez,The Menace,"5' 6""",155 lbs.,"66.0""",Orthodox,17,9,0,
299,Manny,Bermudez,The Bermudez Triangle,"5' 10""",145 lbs.,"71.0""",Orthodox,14,2,0,
300,Talita,Bernardo,,"5' 4""",135 lbs.,"68.0""",Orthodox,6,4,0,
301,Dave,Berry,,--,--,--,,0,1,0,
302,Keith,Berry,,"6' 1""",185 lbs.,--,,15,14,1,
303,Dieusel,Berto,,"5' 9""",200 lbs.,--,,0,3,0,
304,Edson,Berto,Little Tiger,"5' 6""",155 lbs.,--,Orthodox,17,12,1,
305,Allen,Berube,Monstah Lobstah,"5' 8""",155 lbs.,--,Orthodox,4,3,0,
